City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
421,ingeniero luis a. huergo,-39.0833,-67.2333,16.460000000000036,30,87,5.9,AR,1696121479
422,boguchany,58.3814,97.4531,0.26000000000004775,84,12,4.48,RU,1696121480
423,balcarce,-37.8462,-58.2552,7.560000000000002,95,0,2.98,AR,1696121480
424,soto la marina,23.7667,-98.2167,27.29000000000002,73,99,3.21,MX,1696121480
425,gadzhiyevo,69.2551,33.3362,7.5,94,85,3.22,RU,1696121481
426,berea,41.3662,-81.8543,18.860000000000014,90,0,2.57,US,1696121481
427,bemidji,47.4736,-94.8803,19.75,95,100,3.6,US,1696121482
428,kuqa,41.7278,82.9364,16.340000000000032,45,1,1.43,CN,1696121482
429,georgiyevka,43.0369,74.7114,10.020000000000039,76,20,4.0,KZ,1696121482
430,cadale,2.7603,46.3222,25.75,86,1,6.53,SO,1696121482
431,al kharijah,25.4514,30.5464,28.939999999999998,31,13,5.3,EG,1696121483
432,gaiman,-43.2897,-65.4929,13.720000000000027,37,100,10.85,AR,1696121483
433,arica,-18.475,-70.3042,19.75,77,100,4.63,CL,1696121465
434,budleigh salterton,50.6298,-3.3218,18.04000000000002,95,98,6.55,GB,1696121484
435,villa gesell,-37.2639,-56.973,10.03000000000003,85,21,5.61,AR,1696121248
436,santana,-0.0583,-51.1817,30.100000000000023,70,0,6.69,BR,1696121484
437,sandpoint,48.2766,-116.5533,11.629999999999995,75,100,4.12,US,1696121484
438,kovylkino,54.0388,43.9139,12.879999999999995,79,57,3.57,RU,1696121485
439,ulsteinvik,62.3432,5.8487,12.730000000000018,92,100,4.92,NO,1696121485
440,acarau,-2.8856,-40.12,26.189999999999998,81,16,8.0,BR,1696121486
441,okhotsk,59.3833,143.3,7.4500000000000455,72,100,2.55,RU,1696121486
442,ilinge,-31.9768,27.0427,7.220000000000027,67,32,1.93,ZA,1696121486
443,loreto,22.2667,-101.9667,23.99000000000001,27,100,6.85,MX,1696121486
444,kishanpur,25.65,81.0167,25.189999999999998,84,10,2.8,IN,1696121487
445,smithfield,41.922,-71.5495,14.490000000000009,93,100,4.12,US,1696121487
446,nouadhibou,20.931,-17.0347,24.99000000000001,65,16,5.66,MR,1696121487
447,sodra sandby,56.5667,16.6167,13.270000000000039,84,100,6.71,SE,1696121488
448,yaren,-0.5472,166.916,29.189999999999998,73,28,4.7,NR,1696121488
449,arkhipo-osipovka,44.37,38.52,18.680000000000007,77,63,2.24,RU,1696121488
450,stephenville,32.2207,-98.2023,30.140000000000043,46,0,3.09,US,1696121489
451,gisborne,-38.6533,178.0042,14.810000000000002,43,11,1.83,NZ,1696121489
452,berriane,32.8265,3.7669,23.450000000000045,37,0,2.08,DZ,1696121489
453,cidreira,-30.1811,-50.2056,15.810000000000002,83,100,4.85,BR,1696121490
454,richards bay,-28.783,32.0377,18.950000000000045,83,100,8.26,ZA,1696121490
455,petukhovo,55.0692,67.9019,8.150000000000034,90,100,2.03,RU,1696121490
456,jinka,5.65,36.65,17.879999999999995,89,96,1.9,ET,1696121490
457,kulhudhuffushi,6.6221,73.07,27.30000000000001,78,100,8.36,MV,1696121491
458,odoyev,53.9393,36.6864,11.160000000000025,66,0,3.85,RU,1696121491
459,musoma,-1.5,33.8,22.920000000000016,66,21,2.04,TZ,1696121491
460,escanaba,45.7453,-87.0646,18.620000000000005,100,100,3.09,US,1696121492
461,mariental,-24.6333,17.9667,17.400000000000034,16,0,3.97,NA,1696121493
462,lusambo,-4.9667,23.45,21.120000000000005,95,33,0.62,CD,1696121493
463,at taj,24.2049,23.2857,27.05000000000001,30,100,6.39,LY,1696121494
464,mikulov,48.8056,16.6378,11.82000000000005,100,23,1.93,CZ,1696121494
465,paka,4.6374,103.4368,24.99000000000001,94,20,0.0,MY,1696121495
466,port blair,11.6667,92.75,26.02000000000004,89,75,1.54,IN,1696121495
467,mersing,2.4312,103.8405,27.100000000000023,75,86,1.32,MY,1696121495
468,palikir - national government center,6.9248,158.1611,29.410000000000025,79,100,2.06,FM,1696121496
469,krasnozerskoye,53.9828,79.2374,1.57000000000005,89,3,3.18,RU,1696121496
470,hammerfest,70.6634,23.6821,7.25,93,75,4.12,NO,1696121496
471,conde,-7.2597,-34.9075,23.700000000000045,88,20,2.06,BR,1696121497
472,zaozersk,69.4005,32.4476,7.32000000000005,94,100,1.86,RU,1696121497
